conversationId	utteranceNum	wizard utterance	user utterance	entity	sentiment
CCPE-00729	5.0	Can you name a particular movie that you like?	Dr. Strange	Doctor Strange	2.0
CCPE-00729	5.0	Can you name a particular movie that you like?	Dr. Strange	Doctor Strange	2.0
CCPE-00729	10.0	Ditto. Can you name a movie that you do not like?	Bright.	Bright	-2.0
CCPE-00729	14.0	Do you like the movie Dunkirk?	Never seen it.	Dunkirk	
CCPE-00729	14.0	Do you like the movie Dunkirk?	Never seen it.	Dunkirk	
CCPE-00729	16.0	Do you like the movie Whiplash?	I haven't seen it.	Whiplash	
CCPE-00729	16.0	Do you like the movie Whiplash?	I haven't seen it.	Whiplash	
CCPE-00729	18.0	Do you like the movie jason Bourne?	Yeah, they are all right.	Jason Bourne	1.0
CCPE-00729	18.0	Do you like the movie jason Bourne?	Yeah, they are all right.	Jason Bourne	1.0
CCPE-00729	22.0	Do you like the movie Spotlight?	I don't think I've seen it.	Spotlight	
CCPE-00729	22.0	Do you like the movie Spotlight?	I don't think I've seen it.	Spotlight	
CCPE-00729	24.0	Do you like the movie Aliens?	Yes.	Aliens	2.0
CCPE-00729	24.0	Do you like the movie Aliens?	Yes.	Aliens	2.0
CCPE-008c2	5.0	Is there a specific movie you enjoy from these genres?	The Avengers	Marvel's The Avengers	2.0
CCPE-008c2	5.0	Is there a specific movie you enjoy from these genres?	The Avengers	Marvel's The Avengers	2.0
CCPE-008c2	16.0	Have you seen Thor: Ragnarok	Yes.	Thor: Ragnarok	
CCPE-008c2	16.0	Have you seen Thor: Ragnarok	Yes.	Thor: Ragnarok	
CCPE-0124b	3.0	can u name a movie that fits those categories that u really like	Yes, Schindler's List.	Schindler's list	3.0
CCPE-0124b	3.0	can u name a movie that fits those categories that u really like	Yes, Schindler's List.	Schindler's list	2.0
CCPE-0124b	8.0		The Shawshank Redemption. Although it was really good, like it was well reviewed, I just it was too long, and just didn't enjoy it.	The Shawshank Redemption	-2.0
CCPE-0124b	8.0		The Shawshank Redemption. Although it was really good, like it was well reviewed, I just it was too long, and just didn't enjoy it.	The Shawshank Redemption	-2.0
CCPE-0124b	12.0	got it, thanks for sharing. and this is a bit of a tangent, but have u seen the hobbit	Yes.	The Hobbit: An Unexpected Journey	
CCPE-0124b	12.0	got it, thanks for sharing. and this is a bit of a tangent, but have u seen the hobbit	Yes.	The Hobbit: An Unexpected Journey	
CCPE-0124b	16.0	what about it was great	I like the characters, the story line. And how it builds up on Lord of the Rings and gives you more background and insight into the Hobbits and everything else. So, I thought it was a really great movie.	lord of the rings	3.0
CCPE-0124b	16.0	what about it was great	I like the characters, the story line. And how it builds up on Lord of the Rings and gives you more background and insight into the Hobbits and everything else. So, I thought it was a really great movie.	lord of the rings	3.0
CCPE-0124b	18.0	how were the costumes, music, background, etc.?	Costumes made me feel like they're real. So, everything is fake, but it was not in the movie. It was like exactly there. And of course, the the movie the music was engrossing, just like Lord of the Rings. It was majestical, almost, and well composed.	lord of the rings	3.0
CCPE-0124b	18.0	how were the costumes, music, background, etc.?	Costumes made me feel like they're real. So, everything is fake, but it was not in the movie. It was like exactly there. And of course, the the movie the music was engrossing, just like Lord of the Rings. It was majestical, almost, and well composed.	lord of the rings	3.0
CCPE-0126d	3.0	Perfect! Now, what would be one of your favorite movies?	I love Mr. and Mrs. Smith. That's a great one.	Mr. & Mrs. Smith	3.0
CCPE-0126d	3.0	Perfect! Now, what would be one of your favorite movies?	I love Mr. and Mrs. Smith. That's a great one.	Mr. & Mrs. Smith	3.0
CCPE-0126d	5.0	Got it. Could you give me some reasons you enjoy that type of movie?	Sure, but first of all Mr. & Mrs Smith, I'm talking about the one made in 2006 with Angelina Jolie and Brad Pitt. Its a tonne of fun, its actually is funny along with the action. The action sequences are really well done, really fun like just a lot going on but also well choreographed, good cinematography, and acting. And the movie is great, really makes a difference when the actors are good in the action movie.	Mr. & Mrs. Smith	3.0
CCPE-0126d	5.0	Got it. Could you give me some reasons you enjoy that type of movie?	Sure, but first of all Mr. & Mrs Smith, I'm talking about the one made in 2006 with Angelina Jolie and Brad Pitt. Its a tonne of fun, its actually is funny along with the action. The action sequences are really well done, really fun like just a lot going on but also well choreographed, good cinematography, and acting. And the movie is great, really makes a difference when the actors are good in the action movie.	Mr. & Mrs. Smith	3.0
CCPE-0126d	8.0		Quantum of Solace	Quantum of Solace	
CCPE-0126d	9.0		It's not the type of the movie. It really is that particular one. The new James Bonds just leave a lot be desired. They used to be really fun action movies, little nod, little wink, and great action. The action has been tepid at best, and the story and the tone of the movie has gotten so serious, it's almost like a drama. And it's just not fun anymore.	james bonds	-3.0
CCPE-0126d	9.0		It's not the type of the movie. It really is that particular one. The new James Bonds just leave a lot be desired. They used to be really fun action movies, little nod, little wink, and great action. The action has been tepid at best, and the story and the tone of the movie has gotten so serious, it's almost like a drama. And it's just not fun anymore.	james bonds	-3.0
CCPE-0126d	11.0	So would you enjoy a movie like Wonder Woman?	Yes. Very much.	Wonder Woman	3.0
CCPE-0126d	11.0	So would you enjoy a movie like Wonder Woman?	Yes. Very much.	Wonder Woman	3.0
CCPE-0126d	16.0	Mad Max: Fury Road	I think that's a great kind of a movie.	Mad Max: Fury Road	3.0
CCPE-0126d	16.0	Mad Max: Fury Road	I think that's a great kind of a movie.	Mad Max: Fury Road	3.0
CCPE-0341e	5.0	cool, how about a movie you liked?	I think I like the Mission: Impossible one. It was very very quick and fast-paced.	Mission: Impossible	3.0
CCPE-0341e	5.0	cool, how about a movie you liked?	I think I like the Mission: Impossible one. It was very very quick and fast-paced.	Mission: Impossible	2.0
CCPE-0341e	7.0	Interesting, is there a movie you did not like?	I did not like the latest Jumanji movie that came out recently. It was a little lot childish.	Jumanji: Welcome to the Jungle	-3.0
CCPE-0341e	7.0	Interesting, is there a movie you did not like?	I did not like the latest Jumanji movie that came out recently. It was a little lot childish.	Jumanji: Welcome to the Jungle	-3.0
CCPE-0341e	9.0	Ok, then have you seen the movie John Wick?	Yes, I believe I did see that one. That was a very good movie.	John Wick	3.0
CCPE-0341e	9.0	Ok, then have you seen the movie John Wick?	Yes, I believe I did see that one. That was a very good movie.	John Wick	3.0
CCPE-03d99	5.0	Can you name a particular movie that you like?	One of my all time favorite movies is Bourne Ultimatum.	The Bourne Ultimatum	3.0
CCPE-03d99	5.0	Can you name a particular movie that you like?	One of my all time favorite movies is Bourne Ultimatum.	The Bourne Ultimatum	3.0
